Camera,AVG_LYRU_RAI
A03,0.00168706
A13,0.002263792
B02,0.01827683
B04,0.01476954
B06,0.01058301
B08,0.000564972
B10,0.00884298
B12,0.007822385
B14,0.008794618
C03,0.09034829
C05,0.001956989
C07,0.001747312
C09,0.002688172
C11,0.009301946
C15,0.04731596
C17,0.004709354
D04,0.005337243
D06,0.02669737
D08,0.006319247
D10,0.01194202
D12,0.03744695
D14,0.008915879
D16,0.003395586
E05,0.01774659
E07,0.001541288
E09,0.000595238
E11,0.004981001
E13,0.005477268
E15,0.01416786
E17,0.001996928
F04,0.00750964
F06,0.002226062
F08,0.006099502
F10,0.001075269
G09,0.005033976
G11,0.006329784
