Camera,Avg_RAI_1_Year_Before_Fire,Avg_RAI_1_Year_After_Fire,Fire
A03,0,0.002777778,N
A13,0.007527,0,N
B02,0.012572,0.011041,N
B04,0.025511,0.010842,Y
B06,0.01265,0,Y
B08,0,0.002778,Y
B10,0.002481,0.008244,Y
B12,0.002747,0.011022,N
B14,0.010008,0.008065,N
C03,0.045675,0.125288,N
C05,0.005045,0,N
C07,0,0.002778,N
C09,0.004963,0.005466,Y
C11,0,0.008154,N
C15,0.048541,0.079519,N
C17,0.002481,0.005664,N
D04,0,0.008244,Y
D06,0.030574,0.043728,Y
D08,0.010091,0,Y
D10,0.015054,0.005376,Y
D12,0.009926,0.121729,N
D14,0.005045,0.008442,N
D16,0.004963,0.002688,N
E05,0.025328,0.019464,Y
E07,0.002381,0,Y
E09,0.002564,0,Y
E11,0.002747,0.002976,Y
E13,0.007527,0.010842,N
E15,0.017535,0.008353,N
E17,0.002564,0,N
F04,0.007875,0.013889,N
F06,0,0.005466,Y
F08,0.005311,0.002688,Y
F10,0.002481,0,Y
G09,0.017801,0.005466,Y
G11,0.010174,0.002688,Y
