Camera,Start,End,Latitude,Longitude,Problem1_from,Problem1_to,Problem2_from,Problem2_to,Problem3_from,Problem3_to,Problem4_from,Problem4_to
A03,4/2/2016,3/30/2021,39.0347,-123.10165,6/4/2018,8/3/2018,NA,NA,NA,NA,NA,NA
A13,4/13/2016,3/28/2021,39.00059,-123.10008,NA,NA,NA,NA,NA,NA,NA,NA
B02,5/6/2016,3/16/2021,39.03789,-123.09434,8/16/2016,11/5/2016,7/27/2018,8/3/2018,NA,NA,NA,NA
B04,5/6/2016,3/23/2021,39.03127,-123.09418,NA,NA,NA,NA,NA,NA,NA,NA
B06,5/5/2016,3/31/2021,39.02517,-123.09378,7/27/2018,8/3/2018,NA,NA,NA,NA,NA,NA
B08,3/23/2016,3/31/2021,39.0181,-123.0933,NA,NA,NA,NA,NA,NA,NA,NA
B10,3/23/2016,3/31/2021,39.01139,-123.09276,NA,NA,NA,NA,NA,NA,NA,NA
B12,4/13/2016,3/7/2021,39.0043,-123.09306,NA,NA,NA,NA,NA,NA,NA,NA
B14,4/13/2016,3/30/2021,38.99797,-123.09263,11/13/2019,12/18/2019,NA,NA,NA,NA,NA,NA
C03,4/3/2016,3/31/2021,39.03551,-123.08639,3/15/2019,3/28/2019,NA,NA,NA,NA,NA,NA
C05,5/11/2016,3/31/2021,39.02836,-123.08619,6/11/2018,8/7/2018,8/15/2018,12/19/2018,4/22/2020,5/27/2020,6/20/2020,9/23/2020
C07,4/8/2016,4/3/2021,39.02201,-123.08588,8/6/2017,10/16/2017,5/31/2018,8/6/2018,NA,NA,NA,NA
C09,3/23/2016,3/16/2021,39.01465,-123.08611,NA,NA,NA,NA,NA,NA,NA,NA
C11,4/2/2016,3/23/2021,39.0082,-123.08518,7/20/2016,12/3/2016,6/8/2018,8/2/2018,NA,NA,NA,NA
C15,5/19/2016,3/12/2021,38.99488,-123.08437,NA,NA,NA,NA,NA,NA,NA,NA
C17,5/19/2016,3/7/2021,38.98819,-123.08453,NA,NA,NA,NA,NA,NA,NA,NA
D04,3/22/2016,3/25/2021,39.032,-123.07932,6/19/2020,9/23/2020,NA,NA,NA,NA,NA,NA
D06,5/11/2016,3/20/2021,39.02524,-123.0786,7/27/2018,8/1/2018,5/2/2019,6/26/2019,8/3/2020,9/22/2020,NA,NA
D08,5/21/2016,3/31/2021,39.01839,-123.07802,6/27/2016,12/22/2016,4/26/2019,6/25/2019,8/19/2020,9/22/2020,NA,NA
D10,5/17/2016,3/11/2021,39.01199,-123.07796,7/20/2016,12/22/2016,7/27/2018,12/13/2018,4/26/2019,6/21/2019,8/26/2020,9/24/2020
D12,4/2/2016,3/23/2021,39.00478,-123.07772,7/28/2020,9/9/2020,NA,NA,NA,NA,NA,NA
D14,5/19/2016,3/19/2021,38.99776,-123.07731,NA,NA,NA,NA,NA,NA,NA,NA
D16,6/7/2016,3/24/2021,38.99145,-123.07739,NA,NA,NA,NA,NA,NA,NA,NA
E05,4/3/2016,3/17/2021,39.02881,-123.07079,NA,NA,NA,NA,NA,NA,NA,NA
E07,5/13/2016,3/11/2021,39.0221,-123.0712,7/1/2020,9/22/2020,NA,NA,NA,NA,NA,NA
E09,3/23/2016,3/8/2021,39.0153,-123.0707,11/21/2020,3/8/2021,NA,NA,NA,NA,NA,NA
E11,5/19/2016,4/2/2021,39.00868,-123.07081,NA,NA,NA,NA,NA,NA,NA,NA
E13,4/2/2016,3/28/2021,39.00151,-123.07004,NA,NA,NA,NA,NA,NA,NA,NA
E15,4/9/2016,3/19/2021,38.99478,-123.06953,NA,NA,NA,NA,NA,NA,NA,NA
E17,5/1/2016,3/25/2021,38.98867,-123.06975,6/7/2018,6/12/2018,4/2/2020,6/11/2020,12/28/2020,3/25/2021,NA,NA
F04,7/25/2016,3/12/2021,39.03244,-123.06379,6/1/2018,8/6/2018,5/3/2020,5/28/2020,12/28/2020,3/12/2021,NA,NA
F06,4/3/2016,3/29/2021,39.02548,-123.06373,7/27/2018,8/6/2018,NA,NA,NA,NA,NA,NA
F08,3/23/2016,3/15/2021,39.01849,-123.06368,11/28/2018,1/9/2019,NA,NA,NA,NA,NA,NA
F10,4/3/2016,3/15/2021,39.01194,-123.063,7/27/2018,8/6/2018,NA,NA,NA,NA,NA,NA
G09,5/13/2016,4/2/2021,39.01552,-123.05519,7/27/2018,8/8/2018,NA,NA,NA,NA,NA,NA
G11,5/12/2016,3/8/2021,39.009,-123.05591,NA,NA,NA,NA,NA,NA,NA,NA
