Camera,Phase,LYRU.RAI
Cam01,FoxY1,0.03125
Cam01,FoxY2,0.028571429
Cam01,FoxY4,0
Cam02,FoxY1,0.058823529
Cam02,FoxY2,0.114285714
Cam02,FoxY3,0.026315789
Cam02,FoxY4,0.023809524
Cam02,FoxY5,0
Cam03,FoxY1,0.071428571
Cam03,FoxY2,0.114285714
Cam03,FoxY3,0.241935484
Cam04,FoxY1,0
Cam04,FoxY2,0.057142857
Cam04,FoxY3,0.25
Cam04,FoxY4,0.023809524
Cam04,FoxY5,0.163265306
Cam05,FoxY1,0.015625
Cam05,FoxY2,0
Cam05,FoxY4,0
Cam06,FoxY1,0.029411765
Cam06,FoxY2,0
Cam06,FoxY3,0.02173913
Cam06,FoxY4,0
Cam06,FoxY5,0
Cam07,FoxY1,0.028571429
Cam07,FoxY2,0
Cam07,FoxY3,0
Cam07,FoxY4,0
Cam08,FoxY1,0.088235294
Cam08,FoxY2,0.028571429
Cam08,FoxY3,0.094736842
Cam08,FoxY4,0.023809524
Cam08,FoxY5,0
Cam09,FoxY1,0
Cam09,FoxY2,0
Cam09,FoxY4,0.054054054
Cam10,FoxY1,0.02
Cam10,FoxY2,0.028571429
Cam10,FoxY3,0
Cam10,FoxY4,0.047619048
Cam10,FoxY5,0
Cam11,FoxY1,0
Cam11,FoxY2,0.057142857
Cam11,FoxY3,0
Cam12,FoxY1,0.020408163
Cam12,FoxY2,0
Cam12,FoxY5,0
