Camera,Phase,Species,Detections,Latitude,Longitude,Operation,Foxlight,Sheep_Presence,RAI,Dog_RAI,Ind_Dogs,Dogs_Scaled,Elevation,rugged9.clean,rugged25.clean,rugged49.clean,rugged81.clean,Rugged.121,Dist.Water,Slope,Fence.Dist,hq.dist.clean,road.dist.clean,viewshed.clean,ndvi.16.clean.1,veg.edges.dist.clean,chap.edges.dist.clean
Cam01,1,LYRU,4,39.00481,-123.09086,34,FoxN,Y,0.117647059,0.02941176,1,0.3050574,-1.230757236,-0.483316958,0.771159172,1.478898883,0.704394579,0.494383156,-0.575187683,-2.12165379,-0.955256701,-1.333410144,-0.614544511,-0.380396366,-0.82828939,-0.741397619,-0.724632919
Cam01,2,LYRU,2,39.00481,-123.09086,64,FoxY,Y,0.03125,0.03125,2,1.34007301,-1.230757236,-0.483316958,0.771159172,1.478898883,0.704394579,0.494383156,-0.575187683,-2.12165379,-0.955256701,-1.333410144,-0.614544511,-0.380396366,-0.82828939,-0.741397619,-0.724632919
Cam01,3,LYRU,0,39.00481,-123.09086,35,FoxN,Y,0,0.02857143,2,1.34007301,-1.230757236,-0.483316958,0.771159172,1.478898883,0.704394579,0.494383156,-0.575187683,-2.12165379,-0.955256701,-1.333410144,-0.614544511,-0.380396366,-0.82828939,-0.741397619,-0.724632919
Cam01,4,LYRU,1,39.00481,-123.09086,35,FoxY,N,0.028571429,0,0,-0.72995822,-1.230757236,-0.483316958,0.771159172,1.478898883,0.704394579,0.494383156,-0.575187683,-2.12165379,-0.955256701,-1.333410144,-0.614544511,-0.380396366,-0.82828939,-0.741397619,-0.724632919
Cam01,5,LYRU,1,39.00481,-123.09086,39,FoxN,N,0.025641026,0,0,-0.72995822,-1.230757236,-0.483316958,0.771159172,1.478898883,0.704394579,0.494383156,-0.575187683,-2.12165379,-0.955256701,-1.333410144,-0.614544511,-0.380396366,-0.82828939,-0.741397619,-0.724632919
Cam01,7,LYRU,0,39.00481,-123.09086,42,FoxN,N,0,0,0,-0.72995822,-1.230757236,-0.483316958,0.771159172,1.478898883,0.704394579,0.494383156,-0.575187683,-2.12165379,-0.955256701,-1.333410144,-0.614544511,-0.380396366,-0.82828939,-0.741397619,-0.724632919
Cam01,8,LYRU,0,39.00481,-123.09086,62,FoxY,Y,0,0.0483871,1,0.3050574,-1.230757236,-0.483316958,0.771159172,1.478898883,0.704394579,0.494383156,-0.575187683,-2.12165379,-0.955256701,-1.333410144,-0.614544511,-0.380396366,-0.82828939,-0.741397619,-0.724632919
Cam01,9,LYRU,0,39.00481,-123.09086,49,FoxN,Y,0,0.02040816,1,0.3050574,-1.230757236,-0.483316958,0.771159172,1.478898883,0.704394579,0.494383156,-0.575187683,-2.12165379,-0.977657616,-1.222132564,-0.073619142,-0.380396366,-0.82828939,-0.741397619,-0.724632919
Cam02,1,LYRU,2,39.00682,-123.09022,34,FoxY,N,0.058823529,0,0,-0.72995822,-1.226703882,0.275742084,1.275422096,1.463246226,0.374922186,0.101133369,-0.910112679,-1.06195247,-0.977657616,-1.222132564,-0.073619142,1.21787703,-0.068654649,-0.653966188,-0.639982522
Cam02,2,LYRU,5,39.00682,-123.09022,64,FoxN,Y,0.078125,0.078125,2,1.34007301,-1.226703882,0.275742084,1.275422096,1.463246226,0.374922186,0.101133369,-0.910112679,-1.06195247,-0.977657616,-1.222132564,-0.073619142,1.21787703,-0.068654649,-0.653966188,-0.639982522
Cam02,3,LYRU,4,39.00682,-123.09022,35,FoxY,Y,0.114285714,0.08571429,2,1.34007301,-1.226703882,0.275742084,1.275422096,1.463246226,0.374922186,0.101133369,-0.910112679,-1.06195247,-0.977657616,-1.222132564,-0.073619142,1.21787703,-0.068654649,-0.653966188,-0.639982522
Cam02,4,LYRU,0,39.00682,-123.09022,35,FoxN,N,0,0,0,-0.72995822,-1.226703882,0.275742084,1.275422096,1.463246226,0.374922186,0.101133369,-0.910112679,-1.06195247,-0.977657616,-1.222132564,-0.073619142,1.21787703,-0.068654649,-0.653966188,-0.639982522
Cam02,5,LYRU,1,39.00682,-123.09022,38,FoxY,N,0.026315789,0,0,-0.72995822,-1.226703882,0.275742084,1.275422096,1.463246226,0.374922186,0.101133369,-0.910112679,-1.06195247,-0.977657616,-1.222132564,-0.073619142,1.21787703,-0.068654649,-0.653966188,-0.639982522
Cam02,7,LYRU,1,39.00682,-123.09022,42,FoxY,N,0.023809524,0,0,-0.72995822,-1.226703882,0.275742084,1.275422096,1.463246226,0.374922186,0.101133369,-0.910112679,-1.06195247,-0.977657616,-1.222132564,-0.073619142,1.21787703,-0.068654649,-0.653966188,-0.639982522
Cam02,8,LYRU,4,39.00682,-123.09022,62,FoxN,Y,0.064516129,0.09677419,2,1.34007301,-1.226703882,0.275742084,1.275422096,1.463246226,0.374922186,0.101133369,-0.910112679,-1.06195247,-0.977657616,-1.222132564,-0.073619142,1.21787703,-0.068654649,-0.653966188,-0.639982522
Cam02,9,LYRU,0,39.00682,-123.09022,49,FoxY,Y,0,0.04081633,1,0.3050574,-1.226703882,0.275742084,1.275422096,1.463246226,0.374922186,0.101133369,-0.910112679,-1.06195247,-0.977657616,-1.222132564,-0.073619142,1.21787703,-0.068654649,-0.653966188,-0.639982522
Cam03,1,LYRU,2,39.01852,-123.09297,43,FoxN,N,0.046511628,0,0,-0.72995822,-0.567177117,-0.580162406,-0.463152856,-0.668605745,-0.932573974,-1.208374023,-0.202180877,-0.919906139,-1.031336427,-0.155025676,-1.152847052,2.141147852,-1.48709929,-0.701626539,0.003709391
Cam03,2,LYRU,4,39.01852,-123.09297,56,FoxY,N,0.071428571,0.01785714,1,0.3050574,-0.567177117,-0.580162406,-0.463152856,-0.668605745,-0.932573974,-1.208374023,-0.202180877,-0.919906139,-1.031336427,-0.155025676,-1.152847052,2.141147852,-1.48709929,-0.701626539,0.003709391
Cam03,3,LYRU,1,39.01852,-123.09297,24,FoxN,N,0.041666667,0.04166667,1,0.3050574,-0.567177117,-0.580162406,-0.463152856,-0.668605745,-0.932573974,-1.208374023,-0.202180877,-0.919906139,-1.031336427,-0.155025676,-1.152847052,2.141147852,-1.48709929,-0.701626539,0.003709391
Cam03,4,LYRU,4,39.01852,-123.09297,35,FoxY,N,0.114285714,0.05714286,1,0.3050574,-0.567177117,-0.580162406,-0.463152856,-0.668605745,-0.932573974,-1.208374023,-0.202180877,-0.919906139,-1.031336427,-0.155025676,-1.152847052,2.141147852,-1.48709929,-0.701626539,0.003709391
Cam03,5,LYRU,8,39.01852,-123.09297,36,FoxN,N,0.222222222,0,0,-0.72995822,-0.567177117,-0.580162406,-0.463152856,-0.668605745,-0.932573974,-1.208374023,-0.202180877,-0.919906139,-1.031336427,-0.155025676,-1.152847052,2.141147852,-1.48709929,-0.701626539,0.003709391
Cam03,8,LYRU,15,39.01852,-123.09297,62,FoxY,N,0.241935484,0,0,-0.72995822,-0.567177117,-0.580162406,-0.463152856,-0.668605745,-0.932573974,-1.208374023,-0.202180877,-0.919906139,-1.031336427,-0.155025676,-1.152847052,2.141147852,-1.48709929,-0.701626539,0.003709391
Cam03,9,LYRU,13,39.01852,-123.09297,49,FoxN,N,0.265306122,0.02040816,1,0.3050574,-0.567177117,-0.580162406,-0.463152856,-0.668605745,-0.932573974,-1.208374023,-0.202180877,-0.919906139,-1.031336427,-0.155025676,-1.152847052,2.141147852,-1.48709929,-0.701626539,0.003709391
Cam04,1,LYRU,0,39.01967,-123.09402,43,FoxY,N,0,0,0,-0.72995822,-0.50125891,-0.15425238,-0.42145434,-0.726058304,-1.084573627,-0.928944707,0.059914757,-0.676289976,-0.993879199,-0.027935369,-1.164694786,1.679477453,-1.520692587,-0.770490885,-0.13531886
Cam04,2,LYRU,1,39.01967,-123.09402,56,FoxN,N,0.017857143,0,0,-0.72995822,-0.50125891,-0.15425238,-0.42145434,-0.726058304,-1.084573627,-0.928944707,0.059914757,-0.676289976,-0.993879199,-0.027935369,-1.164694786,1.679477453,-1.520692587,-0.770490885,-0.13531886
Cam04,3,LYRU,2,39.01967,-123.09402,35,FoxY,N,0.057142857,0,0,-0.72995822,-0.50125891,-0.15425238,-0.42145434,-0.726058304,-1.084573627,-0.928944707,0.059914757,-0.676289976,-0.993879199,-0.027935369,-1.164694786,1.679477453,-1.520692587,-0.770490885,-0.13531886
Cam04,4,LYRU,4,39.01967,-123.09402,35,FoxN,N,0.114285714,0,0,-0.72995822,-0.50125891,-0.15425238,-0.42145434,-0.726058304,-1.084573627,-0.928944707,0.059914757,-0.676289976,-0.993879199,-0.027935369,-1.164694786,1.679477453,-1.520692587,-0.770490885,-0.13531886
Cam04,5,LYRU,9,39.01967,-123.09402,36,FoxY,N,0.25,0,0,-0.72995822,-0.50125891,-0.15425238,-0.42145434,-0.726058304,-1.084573627,-0.928944707,0.059914757,-0.676289976,-0.993879199,-0.027935369,-1.164694786,1.679477453,-1.520692587,-0.770490885,-0.13531886
Cam04,6,LYRU,3,39.01967,-123.09402,63,FoxN,N,0.047619048,0,0,-0.72995822,-0.50125891,-0.15425238,-0.42145434,-0.726058304,-1.084573627,-0.928944707,0.059914757,-0.676289976,-0.993879199,-0.027935369,-1.164694786,1.679477453,-1.520692587,-0.770490885,-0.13531886
Cam04,7,LYRU,1,39.01967,-123.09402,42,FoxY,N,0.023809524,0,0,-0.72995822,-0.50125891,-0.15425238,-0.42145434,-0.726058304,-1.084573627,-0.928944707,0.059914757,-0.676289976,-0.993879199,-0.027935369,-1.164694786,1.679477453,-1.520692587,-0.770490885,-0.13531886
Cam04,8,LYRU,4,39.01967,-123.09402,62,FoxN,N,0.064516129,0,0,-0.72995822,-0.50125891,-0.15425238,-0.42145434,-0.726058304,-1.084573627,-0.928944707,0.059914757,-0.676289976,-0.993879199,-0.027935369,-1.164694786,1.679477453,-1.520692587,-0.770490885,-0.13531886
Cam04,9,LYRU,8,39.01967,-123.09402,49,FoxY,N,0.163265306,0,0,-0.72995822,-0.50125891,-0.15425238,-0.42145434,-0.726058304,-1.084573627,-0.928944707,0.059914757,-0.676289976,-0.993879199,-0.027935369,-1.164694786,1.679477453,-1.520692587,-0.770490885,-0.13531886
Cam05,1,LYRU,0,38.99844,-123.07067,34,FoxN,N,0,0,0,-0.72995822,-0.996299505,-0.897114456,-1.012785673,-1.423530102,-0.270134479,0.180183604,-0.753776491,-1.920003772,-0.984823108,-1.17667985,-0.843866646,1.443790674,-0.214545324,-0.794906378,2.624601603
Cam05,2,LYRU,1,38.99844,-123.07067,64,FoxY,Y,0.015625,0,0,-0.72995822,-0.996299505,-0.897114456,-1.012785673,-1.423530102,-0.270134479,0.180183604,-0.753776491,-1.920003772,-0.984823108,-1.17667985,-0.843866646,1.443790674,-0.214545324,-0.794906378,2.624601603
Cam05,3,LYRU,0,38.99844,-123.07067,35,FoxN,Y,0,0.14285714,2,1.34007301,-0.996299505,-0.897114456,-1.012785673,-1.423530102,-0.270134479,0.180183604,-0.753776491,-1.920003772,-0.984823108,-1.17667985,-0.843866646,1.443790674,-0.214545324,-0.794906378,2.624601603
Cam05,4,LYRU,0,38.99844,-123.07067,35,FoxY,Y,0,0.2,3,2.37508862,-0.996299505,-0.897114456,-1.012785673,-1.423530102,-0.270134479,0.180183604,-0.753776491,-1.920003772,-0.984823108,-1.17667985,-0.843866646,1.443790674,-0.214545324,-0.794906378,2.624601603
Cam05,5,LYRU,1,38.99844,-123.07067,95,FoxN,Y,0.010526316,0.48421053,3,2.37508862,-0.996299505,-0.897114456,-1.012785673,-1.423530102,-0.270134479,0.180183604,-0.753776491,-1.920003772,-0.984823108,-1.17667985,-0.843866646,1.443790674,-0.214545324,-0.794906378,2.624601603
Cam05,7,LYRU,0,38.99844,-123.07067,42,FoxN,N,0,0,0,-0.72995822,-0.996299505,-0.897114456,-1.012785673,-1.423530102,-0.270134479,0.180183604,-0.753776491,-1.920003772,-0.984823108,-1.17667985,-0.843866646,1.443790674,-0.214545324,-0.794906378,2.624601603
Cam05,8,LYRU,0,38.99844,-123.07067,62,FoxY,Y,0,0,0,-0.72995822,-0.996299505,-0.897114456,-1.012785673,-1.423530102,-0.270134479,0.180183604,-0.753776491,-1.920003772,-0.984823108,-1.17667985,-0.843866646,1.443790674,-0.214545324,-0.794906378,2.624601603
Cam05,9,LYRU,0,38.99844,-123.07067,49,FoxN,N,0,0,0,-0.72995822,-0.996299505,-0.897114456,-1.012785673,-1.423530102,-0.270134479,0.180183604,-0.753776491,-1.920003772,-0.984823108,-1.17667985,-0.843866646,1.443790674,-0.214545324,-0.794906378,2.624601603
Cam06,1,LYRU,1,38.99792,-123.06911,34,FoxY,N,0.029411765,0,0,-0.72995822,-1.016091704,-0.801813364,-0.848977685,-1.275582671,-0.323860288,0.044292416,-0.965466142,-1.191148281,-0.957819462,-1.060514927,-0.944196999,1.853088498,0.311637551,-0.792937219,2.780834436
Cam06,2,LYRU,1,38.99792,-123.06911,64,FoxN,Y,0.015625,0,0,-0.72995822,-1.016091704,-0.801813364,-0.848977685,-1.275582671,-0.323860288,0.044292416,-0.965466142,-1.191148281,-0.957819462,-1.060514927,-0.944196999,1.853088498,0.311637551,-0.792937219,2.780834436
Cam06,3,LYRU,0,38.99792,-123.06911,35,FoxY,Y,0,0.17142857,2,1.34007301,-1.016091704,-0.801813364,-0.848977685,-1.275582671,-0.323860288,0.044292416,-0.965466142,-1.191148281,-0.957819462,-1.060514927,-0.944196999,1.853088498,0.311637551,-0.792937219,2.780834436
Cam06,4,LYRU,0,38.99792,-123.06911,35,FoxN,Y,0,0.34285714,2,1.34007301,-1.016091704,-0.801813364,-0.848977685,-1.275582671,-0.323860288,0.044292416,-0.965466142,-1.191148281,-0.957819462,-1.060514927,-0.944196999,1.853088498,0.311637551,-0.792937219,2.780834436
Cam06,5,LYRU,1,38.99792,-123.06911,46,FoxY,Y,0.02173913,0.02173913,1,0.3050574,-1.016091704,-0.801813364,-0.848977685,-1.275582671,-0.323860288,0.044292416,-0.965466142,-1.191148281,-0.957819462,-1.060514927,-0.944196999,1.853088498,0.311637551,-0.792937219,2.780834436
Cam06,6,LYRU,1,38.99792,-123.06911,63,FoxN,Y,0.015873016,0,0,-0.72995822,-1.016091704,-0.801813364,-0.848977685,-1.275582671,-0.323860288,0.044292416,-0.965466142,-1.191148281,-0.957819462,-1.060514927,-0.944196999,1.853088498,0.311637551,-0.792937219,2.780834436
